No.,Kanji
1450,"① 鉢 • ハツ, ハチ • bowl, rice tub, pot, crown"
1451,"① 搬 • ハン • conveyor, carry, transport"
1452,"① 煩 • わずら.わす, わずら.う, ボン, ハン • anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome"
1453,"① 頒 • わか.つ, ハン • distribute, disseminate, partition, understand"
1454,"① 微 • かす.か, ビ • delicate, minuteness, insignificance"
1455,"① 墓 • はか, ボ • grave, tomb"
1456,"① 飽 • あ.く, あ.かす, あ.きる, ホウ • sated, tired of, bored, satiate"
1457,"① 睦 • むつ.ぶ, むつ.む, むつ.まじい, モク, ボク • intimate, friendly, harmonious"
1458,"① 幕 • とばり, バク, マク • curtain, bunting, act of play"
1459,"① 盟 • メイ • alliance, oath"
1460,"① 滅 • ほろ.ぼす, ほろ.ぶ, ほろ.びる, メツ • destroy, ruin, overthrow, perish"
1461,"① 誉 • ほ.める, ほま.れ, ヨ • reputation, praise, honor, glory"
1462,"① 裸 • はだか, ラ • naked, nude, uncovered, partially clothed"
1463,"① 雷 • かみなり, ライ • thunder, lightening bolt"
1464,"① 酪 • ラク • dairy products, whey, broth, fruit juice"
1465,"① 虜 • とりく, とりこ, ロ, リョ • captive, barbarian, low epithet for the enemy"
1466,"① 鈴 • すず, リン, レイ • small bell, buzzer"
1467,"① 廉 • レン • bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful"
1468,"① 楼 • たかどの, ロウ • watchtower, lookout, high building"
1469,"① 賄 • まかな.う, ワイ • bribe, board, supply, finance"
1470,"① 維 • イ • fiber, tie, rope"
1471,"① 稲 • いな-, いね, テ, トウ • rice plant"
1472,"① 隠 • よ.る, かか.す, かく.れる, かく.し, かく.す, オン, イン • conceal, hide, cover"
1473,"① 寡 • カ • widow, minority, few"
1474,"① 箇 • コ, カ • counters for things"
1475,"① 概 • おうむ.ね, ガイ • outline, condition, approximation, generally"
1476,"① 閣 • カク • tower, tall building, palace"
1477,"① 旗 • はた, キ • national flag, banner, standard"
1478,"① 駆 • か.る, か.ける, ク • drive, run, gallop, advance, inspire, impel"
1479,"① 熊 • くま, ユウ • bear"
1480,"① 綱 • つな, コウ • hawser, class (genus), rope, cord, cable"
1481,① 酵 • コウ • fermentation
1482,"① 豪 • えら.い, ゴウ • overpowering, great, powerful, excelling, Australia"
1483,"① 穀 • コク • cereals, grain"
1484,"① 酷 • ひど.い, コク • cruel, severe, atrocious, unjust"
1485,"① 獄 • ゴク • prison, jail"
1486,"① 魂 • たま, たましい, コン • soul, spirit"
1487,"① 酸 • す.い, サン • acid, bitterness, sour, tart"
1488,"① 雌 • めん, めす, め-, シ • feminine, female"
1489,"① 磁 • ジ • magnet, porcelain"
1490,"① 漆 • うるし, シツ • lacquer, varnish, seven"
1491,"① 遮 • さえぎ.る, シャ • intercept, interrupt, obstruct"
1492,"① 需 • ジュ • demand, request, need"
1493,"① 銃 • つつ, ジュウ • gun, arms"
1494,"① 塾 • ジュク • cram school, private school"
1495,"① 彰 • ショウ • patent, clear"
1496,"① 障 • さわ.る, ショウ • hinder, hurt, harm"
1497,"① 誓 • ちか.う, セイ • vow, swear, pledge"
1498,"① 銭 • すき, ぜに, ゼン, セン • coin, .01 yen, money"
1499,"① 漸 • やや, ゼン • steadily, gradually advancing, finally, barely"
1500,"① 遭 • あ.わせる, あ.う, ソウ • encounter, meet, party, association, interview, join"
1501,"① 駄 • タ, ダ • burdensome, pack horse, horse load, send by horse"
1502,"① 態 • わざ.と, タイ • attitude, condition, figure, appearance, voice (of verbs)"
1503,"① 奪 • うば.う, ダツ • rob, take by force, snatch away, dispossess, plunder, usurp"
1504,"① 端 • はな, -ばた, はた, は, はし, タン • edge, origin, end, point, border, verge, cape"
1505,"① 嫡 • テキ, チャク • legitimate wife, direct descent (non-bastard)"
1506,"① 徴 • しるし, チ, チョウ • indications, sign, omen, symptom, collect, seek, refer to, question"
1507,"① 漬 • -づけ, -づ.け, つ.かる, つ.ける, シ • pickling, soak, moisten, steep"
1508,"① 摘 • つ.む, テキ • pinch, pick, pluck, trim, clip, summarize"
1509,"① 徳 • トク • benevolence, virtue, goodness, commanding respect"
1510,"① 寧 • むし.ろ, ネイ • rather, preferably"
1511,"① 罰 • ばっ.する, ハツ, バチ, バツ • penalty, punishment"
1512,"① 閥 • バツ • clique, lineage, pedigree, faction, clan"
1513,"① 碑 • いしぶみ, ヒ • tombstone, monument"
1514,"① 漂 • ただよ.う, ヒョウ • drift, float (on liquid)"
1515,"① 腐 • くさ.す, くさ.らす, くさ.れ, くさ.れる, -くさ.る, くさ.る, フ • rot, decay, sour"
1516,"① 慕 • した.う, ボ • pining, yearn for, love dearly, adore"
1517,"① 僕 • しもべ, ボク • me, I (male)"
1518,"① 墨 • すみ, ボク • black ink, India ink, ink stick, Mexico"
1519,① 膜 • マク • membrane
1520,"① 慢 • マン • ridicule, laziness"
1521,"① 漫 • みがりに, マン • cartoon, involuntarily, in spite of oneself, corrupt"
1522,"① 銘 • メイ • inscription, signature (of artisan)"
1523,"① 模 • ボ, モ • imitation, copy, mock"
1524,"① 網 • あみ, モウ • netting, network"
1525,"① 誘 • いざな.う, さそ.う, イウ, ユウ • entice, lead, tempt, invite, ask, call for, seduce, allure"
1526,"① 璃 • リ • glassy, lapis lazuli"
1527,"① 僚 • リョウ • colleague, official, companion"
1528,"① 瑠 • リュウ, ル • lapis lazuli"
1529,"① 暦 • りゃく, こよみ, レキ • calendar, almanac"
1530,"① 漏 • も.らす, も.れる, も.る, ロウ • leak, escape, time"
1531,"① 慰 • なぐさ.む, なぐさ.める, イ • consolation, amusement, seduce, cheer, make sport of, comfort, console"
1532,"① 遺 • のこ.す, ユイ, イ • bequeath, leave behind, reserve"
1533,"① 影 • かげ, エイ • shadow, silhouette, phantom"
1534,"① 謁 • エツ • audience, audience (with king)"
1535,"① 閲 • けみ.する, エツ • review, inspection, revision"
1536,"① 縁 • えにし, へり, よすが, ゆかり, ふちど.る, ふち, -ネン, エン • affinity, relation, connection, edge, border, verge, brink"
1537,"① 稼 • かせ.ぐ, カ • earnings, work, earn money"
1538,"① 餓 • う.える, ガ • starve, hungry, thirst"
1539,"① 潟 • -がた, かた, セキ • lagoon"
1540,"① 歓 • よろこ.ぶ, カン • delight, joy"
1541,"① 監 • カン • oversee, official, govt office, rule, administer"
1542,"① 緩 • ゆる.める, ゆる.む, ゆる.やか, ゆる.い, カン • slacken, loosen, relax, lessen, be moderate, ease"
1543,"① 器 • うつわ, キ • utensil, vessel, receptacle, implement, instrument, ability, container, tool, set"
1544,"① 輝 • かがや.く, キ • radiance, shine, sparkle, gleam, twinkle"
1545,"① 儀 • ギ • ceremony, rule, affair, case, a matter"
1546,"① 戯 • じゃ.れる, ざ.れる, たわむ.れる, ゲ, ギ • frolic, play, sport"
1547,"① 窮 • きわ.み, きわ.まり, きわ.まる, きわ.める, キョウ, キュウ • hard up, destitute, suffer, perplexed, cornered"
1548,"① 緊 • キン • tense, solid, hard, reliable, tight"
1549,"① 駒 • こま, ク • pony, horse, colt"
1550,"① 勲 • いさお, クン • meritorious deed, merit"
1551,"① 慶 • よろこ.び, ケイ • jubilation, congratulate, rejoice, be happy"
1552,"① 撃 • う.つ, ゲキ • beat, attack, defeat, conquer"
1553,"① 潔 • いさぎよ.い, ケツ • undefiled, pure, clean, righteous, gallant"
1554,"① 稿 • したがき, わら, コウ • draft, copy, manuscript, straw"
1555,"① 撮 • -ど.り, つま.む, と.る, サツ • snapshot, take pictures"
1556,"① 暫 • しばら.く, ザン • temporarily, a while, moment, long time"
1557,"① 賜 • たも.う, たま.う, たまわ.る, シ • grant, gift, boon, results"
1558,"① 趣 • おもむ.く, おもむき, シュ • gist, proceed to, tend, become"
1559,"① 熟 • う.れる, ジュク • mellow, ripen, mature, acquire skill"
1560,"① 潤 • うる.む, うるお.す, うるお.う, ジュン • wet, be watered, profit by, receive benefits, favor, charm, steep"
1561,"① 遵 • ジュン • abide by, follow, obey, learn"
1562,"① 衝 • つ.く, ショウ • collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick"
1563,"① 嘱 • たの.む, しょく.する, ショク • entrust, request, send a message"
1564,"① 審 • つぶさ.に, つまび.らか, シン • hearing, judge, trial"
1565,"① 澄 • -す.ます, す.ます, す.む, チョウ • lucidity, be clear, clear, clarify, settle, strain, look grave"
1566,"① 請 • う.ける, こ.う, ショウ, シン, セイ • solicit, invite, ask"
1567,"① 潜 • ひそ.める, くぐ.る, かく.れる, もぐ.る, ひそ.む, セン • submerge, conceal, hide, lower (voice), hush"
1568,"① 遷 • みやこがえ, うつ.す, うつ.る, セン • transition, move, change"
1569,"① 槽 • ふね, ソウ • vat, tub, tank"
1570,"① 諾 • ダク • consent, assent, agreement"
1571,"① 誕 • タン • nativity, be born, declension, lie, be arbitrary"
1572,"① 鋳 • い.る, シュウ, シュ, イ, チュウ • casting, mint"
1573,"① 潮 • うしお, しお, チョウ • tide, salt water, opportunity"
1574,"① 墜 • お.つ, お.ちる, ツイ • crash, fall (down)"
1575,"① 締 • -じ.め, -し.め, し.める, し.まり, し.まる, テイ • tighten, tie, shut, lock, fasten"
1576,"① 敵 • かな.う, あだ, かたき, テキ • enemy, foe, opponent"
1577,"① 徹 • テツ • penetrate, clear, pierce, strike home, sit up (all night)"
1578,"① 撤 • テツ • remove, withdraw, disarm, dismantle, reject, exclude"
1579,"① 踏 • ふ.まえる, ふ.む, トウ • step, trample, carry through, appraise, evade payment"
1580,"① 憧 • あこが.れる, ドウ, トウ, ショウ • yearn after, long for, aspire to, admire, adore"
1581,"① 縄 • ただ.す, なわ, ジョウ • straw rope, cord"
1582,"① 輩 • ともがら, やかい, やから, -ばら, ハイ • comrade, fellow, people, companions"
1583,"① 賠 • バイ • compensation, indemnify"
1584,"① 範 • ハン • pattern, example, model"
1585,"① 盤 • バン • tray, shallow bowl, platter, tub, board, phonograph record"
1586,"① 罷 • や.める, まか.り-, ヒ • quit, stop, leave, withdraw, go"
1587,"① 標 • しるし, しるべ, ヒョウ • signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target"
1588,"① 賓 • ヒン • V.I.P., guest"
1589,"① 敷 • -し.き, し.く, フ • spread, pave, sit, promulgate"
1590,"① 賦 • ブ, フ • levy, ode, prose, poem, tribute, installment"
1591,"① 噴 • ふ.く, フン • erupt, spout, emit, flush out"
1592,"① 墳 • フン • tomb, mound"
1593,"① 憤 • いきどお.る, フン • aroused, resent, be indignant, anger"
1594,"① 幣 • ぬさ, ヘイ • cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper"
1595,"① 弊 • ヘイ • abuse, evil, vice, breakage"
1596,"① 舗 • ホ • shop, store"
1597,"① 穂 • ほ, スイ • ear, ear (grain), head, crest (wave)"
1598,"① 褒 • ほ.める, ホウ • praise, extol"
1599,"① 撲 • ボク • slap, strike, hit, beat, tell, speak"
1600,"① 摩 • す.る, さ.する, ま.する, マ • chafe, rub, polish, grind, scrape"
1601,"① 魅 • ミ • fascination, charm, bewitch"
1602,"① 黙 • もだ.す, だま.る, ボク, モク • silence, become silent, stop speaking, leave as is"
1603,"① 憂 • う.き, う.い, うれ.い, うれ.える, ユウ • melancholy, grieve, lament, be anxious, sad, unhappy"
1604,"① 窯 • かま, ヨウ • kiln, oven, furnace"
1605,"① 養 • やしな.う, リョウ, ヨウ • foster, bring up, rear, develop, nurture"
1606,"① 履 • は.く, リ • footgear, shoes, boots, put on (the feet"
1607,"① 慮 • おもんぱか.る, おもんぱく.る, リョ • prudence, thought, concern, consider, deliberate, fear"
1608,"① 寮 • リョウ • dormitory, hostel, villa, tea pavillion"
1609,"① 霊 • たま, リョウ, レイ • spirits, soul"
1610,"① 緯 • ぬき, よこいと, イ • horizontal, woof, left & right, latitude"
1611,"① 衛 • エ, エイ • defense, protection"
1612,"① 憶 • オク • recollection, think, remember"
1613,"① 穏 • おだ.やか, オン • calm, quiet, moderation"
1614,"① 壊 • やぶ.る, こわ.れる, こわ.す, エ, カイ • demolition, break, destroy"
1615,"① 懐 • おも.う, いだ.く, なず.ける, なつ.ける, なつ.く, なつ.かしむ, なつ.かしい, ふところ, エ, カイ • pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast"
1616,"① 獲 • え.る, カク • seize, get, find, earn, acquire, can, may, able to"
1617,"① 憾 • うら.む, カン • remorse, regret, be sorry"
1618,"① 還 • かえ.る, カン • send back, return"
1619,"① 興 • おこ.す, おこ.る, キョウ, コウ • entertain, revive, retrieve, interest, pleasure"
1620,"① 凝 • こご.る, こご.らせる, こご.らす, こ.らす, こ.る, ギョウ • congeal, freeze, stiff, be absorbed in"
1621,"① 錦 • にしき, キン • brocade, fine dress, honors"
1622,"① 薫 • かお.る, クン • send forth fragrance, fragrant, be scented, smoke (tobacco)"
1623,"① 憩 • いこ.う, いこ.い, ケイ • recess, rest, relax, repose"
1624,"① 激 • はげ.しい, ゲキ • violent, get excited, enraged, chafe, incite"
1625,"① 憲 • ケン • constitution, law"
1626,"① 衡 • コウ • equilibrium, measuring rod, scale"
1627,"① 鋼 • はがね, コウ • steel"
1628,"① 墾 • コン • ground-breaking, open up farmland"
1629,"① 錯 • シャク, サク • confused, mix, be in disorder"
1630,"① 諮 • はか.る, シ • consult with"
1631,① 儒 • ジュ • Confucian
1632,"① 樹 • き, ジュ • timber trees, wood"
1633,"① 獣 • けだもの, けもの, ジュウ • animal, beast"
1634,"① 縦 • たて, ジュウ • vertical, length, height, self-indulgent, wayward"
1635,"① 壌 • つち, ジョウ • lot, earth, soil"
1636,"① 嬢 • むすめ, ジョウ • lass, girl, Miss, daughter"
1637,"① 錠 • ジョウ • lock, fetters, shackles"
1638,"① 薪 • まき, たきぎ, シン • fuel, firewood, kindling"
1639,"① 整 • ととの.う, ととの.える, セイ • organize, arranging, tune, tone, meter, key (music)"
1640,"① 薦 • すす.める, セン • recommend, mat, advise, encourage, offer"
1641,"① 操 • あやつ.る, みさお, サン, ソウ • maneuver, manipulate, operate, steer, chastity, virginity, fidelity"
1642,"① 濁 • にご.す, にご.る, ジョク, ダク • voiced, uncleanness, wrong, nigori, impurity"
1643,"① 壇 • タン, ダン • podium, stage, rostrum, terrace"
1644,① 糖 • トウ • sugar
1645,"① 篤 • あつ.い, トク • fervent, kind, cordial, serious, deliberate"
1646,"① 縛 • しば.る, バク • truss, arrest, bind, tie, restrain"
1647,"① 繁 • しげ.く, しげ.る, ハン • luxuriant, thick, overgrown, frequency, complexity, trouble"
1648,"① 避 • よ.ける, さ.ける, ヒ • evade, avoid, avert, ward off, shirk, shun"
1649,"① 奮 • ふる.う, フン • stirred up, be invigorated, flourish"
1650,"① 壁 • かべ, ヘキ • wall, lining (stomach), fence"
1651,"① 縫 • ぬ.う, ホウ • sew, stitch, embroider"
1652,"① 膨 • ふく.れる, ふく.らむ, ボウ • swell, get fat, thick"
1653,"① 謀 • はかりごと, たばか.る, はか.る, ム, ボウ • conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive"
1654,"① 諭 • さと.す, ユ • rebuke, admonish, charge, warn, persuade"
1655,"① 融 • と.かす, と.ける, ユウ • dissolve, melt"
1656,"① 擁 • ヨウ • hug, embrace, possess, protect, lead"
1657,"① 謡 • うた.う, うた.い, ヨウ • noh chanting"
1658,"① 隣 • となり, とな.る, リン • neighboring"
1659,"① 隷 • しもべ, したが.う, レイ • slave, servant, prisoner, criminal, follower"
1660,"① 錬 • ね.る, レン • tempering, refine, drill, train, polish"
1661,"① 嚇 • おど.かす, カク • menacing, dignity, majesty, threaten"
1662,"① 轄 • くさび, カツ • control, wedge"
1663,"① 環 • わ, カン • ring, circle, link, wheel"
1664,"① 擬 • もど.き, まが.い, ギ • mimic, aim (a gun) at, nominate, imitate"
1665,"① 犠 • いけにえ, キ, ギ • sacrifice"
1666,"① 矯 • た.める, キョウ • rectify, straighten, correct, reform, cure, control, pretend, falsify"
1667,"① 謹 • つつし.む, キン • discreet, reverently, humbly"
1668,"① 謙 • ケン • self-effacing, humble oneself, condescend, be modest"
1669,"① 厳 • いつくし, いか.めしい, きび.しい, おごそ.か, ゴン, ゲン • stern, strictness, severity, rigidity"
1670,"① 購 • コウ • subscription, buy"
1671,"① 懇 • ねんご.ろ, コン • sociable, kind, courteous, hospitable, cordial"
1672,"① 擦 • こす.れる, こす.る, -ず.れ, す.れる, す.る, サツ • grate, rub, scratch, scrape, chafe, scour"
1673,"① 謝 • あやま.る, シャ • apologize, thank, refuse"
1674,"① 爵 • シャク • baron, peerage, court rank"
1675,"① 醜 • しこ, みにく.い, シュウ • ugly, unclean, shame, bad looking"
1676,"① 縮 • ちぢ.らす, ちぢ.れる, ちぢ.める, ちぢ.まる, ちぢ.む, シュク • shrink, contract, shrivel, wrinkle, reduce"
1677,"① 償 • つぐな.う, ショウ • reparation, make up for, recompense, redeem"
1678,"① 礁 • ショウ • reef, sunken rock"
1679,"① 繊 • セン • slender, fine, thin kimono"
1680,"① 鮮 • あざ.やか, セン • fresh, vivid, clear, brilliant, Korea"
1681,"① 霜 • しも, ソウ • frost"
1682,"① 鍛 • きた.える, タン • forge, discipline, train"
1683,"① 聴 • ゆる.す, き.く, テイ, チョウ • listen, headstrong, naughty, careful inquiry"
1684,"① 謄 • トウ • mimeograph, copy"
1685,"① 瞳 • ひとみ, トウ, ドウ • pupil"
1686,"① 頻 • しき.りに, ヒン • repeatedly, recur"
1687,"① 翼 • つばさ, ヨク • wing, plane, flank"
1688,"① 覧 • み.る, ラン • perusal, see"
1689,"① 瞭 • あきらか, リョウ • clear"
1690,"① 穫 • カク • harvest, reap"
1691,"① 鎌 • かま, ケン, レン • sickle, scythe, trick"
1692,"① 騎 • キ • equestrian, riding on horses, counter for equestrians"
1693,"① 襟 • えり, キン • collar, neck, lapel"
1694,"① 顕 • あらわ.れる, あきらか, ケン • appear, existing"
1695,"① 鎖 • とざ.す, くさり, サ • chain, irons, connection"
1696,"① 瞬 • まじろ.ぐ, またた.く, シュン • wink, blink, twinkle"
1697,"① 織 • -お.り, -おり, おり, お.り, お.る, シキ, ショク • weave, fabric"
1698,"① 繕 • つくろ.う, ゼン • darning, repair, mend, trim, tidy up, adjust"
1699,"① 礎 • いしずえ, ソ • cornerstone, foundation stone"
1700,"① 騒 • さわ.がしい, うれい, さわ.ぐ, ソウ • boisterous, make noise, clamor, disturb, excite"
1701,"① 懲 • こ.らしめる, こ.らす, こ.りる, チョウ • penal, chastise, punish, discipline"
1702,"① 鎮 • おさえ, しず.まる, しず.める, チン • tranquilize, ancient peace-preservation centers"
1703,"① 藤 • ふじ, ドウ, トウ • wisteria"
1704,"① 闘 • あらそ.う, たたか.う, トウ • fight, war"
1705,"① 藩 • ハン • clan, enclosure"
1706,"① 覆 • くつがえ.る, くつがえ.す, おお.う, フク • capsize, cover, shade, mantle, be ruined"
1707,"① 癖 • くせ.に, くせ, ヘキ • mannerism, habit, vice, trait, fault, kink"
1708,"① 翻 • ひるがえ.す, ひるがえ.る, ハン, ホン • flip, turn over, wave, flutter, change (mind)"
1709,"① 繭 • きぬ, まゆ, ケン • cocoon"
1710,"① 癒 • いや.す, い.える, ユ • healing, cure, quench (thirst), wreak"
1711,"① 濫 • みだ.りがましい, みだ.りに, ラン • excessive, overflow, spread out"
1712,"① 藍 • あい, ラン • indigo"
1713,"① 離 • はな.す, はな.れる, リ • detach, separation, disjoin, digress"
1714,"① 糧 • かて, ロウ, リョウ • provisions, food, bread"
1715,"① 臨 • のぞ.む, リン • look to, face, meet, confront, attend, call on"
1716,"① 韻 • イン • rhyme, elegance, tone"
1717,"① 艶 • なま.めく, つや.めく, あで.やか, なま.めかしい, つや, エン • glossy, luster, glaze, polish, charm, colorful, captivating"
1718,"① 鏡 • かがみ, ケイ, キョウ • mirror, speculum, barrel-head, round rice-cake offering"
1719,"① 繰 • く.る, ソウ • winding, reel, spin, turn (pages), look up, refer to"
1720,"① 鶏 • とり, にわとり, ケイ • chicken"
1721,"① 鯨 • くじら, ゲイ • whale"
1722,① 璽 • ジ • emperor's seal
1723,"① 髄 • ズイ • marrow, pith"
1724,"① 瀬 • せ, ライ • rapids, current, torrent, shallows, shoal"
1725,"① 藻 • も, ソウ • seaweed, duckweed"
1726,"① 覇 • はたがしら, ハク, ハ • hegemony, supremacy, leadership, champion"
1727,"① 譜 • フ • musical score, music, note, staff, table, genealogy"
1728,"① 簿 • ボ • register, record book"
1729,"① 霧 • きり, ブ, ボウ, ム • fog, mist"
1730,"① 羅 • うすもの, ラ • gauze, thin silk, Rome"
1731,"① 麗 • うら.らか, うるわ.しい, レイ • lovely, companion"
1732,"① 響 • ひび.く, キョウ • echo, sound, resound, ring, vibrate"
1733,"① 懸 • か.かる, か.ける, ケ, ケン • suspend, hang, 10%, install, depend, consult"
1734,"① 護 • まも.る, ゴ • safeguard, protect"
1735,"① 鐘 • かね, ショウ • bell, gong, chimes"
1736,"① 譲 • ゆず.る, ジョウ • defer, turnover, transfer, convey"
1737,"① 醸 • かも.す, ジョウ • brew, cause"
1738,"① 騰 • トウ • inflation, advancing, going"
1739,"① 欄 • てすり, ラン • column, handrail, blank, space"
1740,① 艦 • カン • warship
1741,"① 顧 • かえり.みる, コ • look back, review, examine oneself, turn around"
1742,"① 鶴 • つる, カク • crane, stork"
1743,"① 魔 • マ • witch, demon, evil spirit"
1744,"① 躍 • おど.る, ヤク • leap, dance, skip"
1745,"① 露 • つゆ, ロウ, ロ • dew, tears, expose, Russia"
1746,"① 驚 • おどろ.かす, おどろ.く, キョウ • wonder, be surprised, frightened, amazed"
1747,"① 襲 • かさ.ね, おそ.う, シュウ • attack, advance on, succeed to, pile, heap"
1748,"① 鑑 • かがみ, かんが.みる, カン • specimen, take warning from, learn from"
1749,"巾 • きれ, ちきり, おお.い, フク, キン • towel, hanging scroll, width"
1750,"乞 • こ.う, コチ, キケ, キ, キツ, コツ • beg, invite, ask"
1751,"勾 • ま.がる, かぎ, ク, コウ • be bent, slope, capture"
1752,"爪 • つま-, つめ, ソウ • claw, nail, talon"
1753,"匂 • にお.わせる, にお.い, にお.う • fragrant, stink, glow, insinuate, (kokuji)"
1754,"牙 • は, きば, ゲ, ガ • tusk, fang"
1755,"瓦 • ぐらむ, かわら, ガ • tile, gram"
1756,"尻 • しり, コウ • buttocks, hips, butt, rear"
1757,"氾 • ひろ.がる, ハン • spread out, wide"
1758,"丼 • どんぶり, セイ, ショウ, タン, トン • bowl, bowl of food"
1759,"臼 • うすづ.く, うす, グ, キュウ • mortar"
1760,"汎 • ひろ.い, ただよ.う, ホン, ホウ, フウ, ブ, ハン • pan-"
1761,"串 • つらぬ.く, くし, セン, ケン, カン • shish kebab, spit, skewer"
1762,"阪 • さか, ハン • heights, slope"
1763,芯 • シン • wick
1764,"肘 • ひじ, チュウ • elbow, arm"
1765,"妖 • わざわ.い, なま.めく, あや.しい, ヨウ • attractive, bewitching, calamity"
1766,"沃 • そそ.ぐ, オク, ヨク, ヨウ • fertility"
1767,"弄 • もてあそ.ぶ, たわむ.れる, ひねく.る, いじ.る, ろう.する, いじく.る, ル, ロウ • play with, tamper, trifle with"
1768,"宛 • あたか.も, -づつ, -あて, あ.てる, エン • address, just like, fortunately"
1769,"岡 • おか, コウ • mount, hill, knoll"
1770,"苛 • こまかい, からい, いらだ.つ, さいな.む, いじ.める, カ • torment, scold, chastise"
1771,"玩 • もてあそ.ぶ, もちあそ.ぶ, ガン • play, take pleasure in, trifle with, make sport of"
1772,"股 • もも, また, コ • thigh, crotch, yarn, strand"
1773,"呪 • のろ.う, まじな.い, のろ.い, まじな.う, ズ, シュウ, シュ, ジュ • spell, curse, charm, malediction"
1774,"狙 • ねら.い, ねら.う, ショ, ソ • aim at, sight, shadow, stalk"
1775,"妬 • ふさ.ぐ, つも.る, そね.む, ねた.む, ツ, ト • jealous, envy"
1776,"阜 • フウ, フ • hill, mound, left village radical (no. 170)"
1777,"枕 • まくら, シン, チン • pillow"
1778,"刹 • サツ, セツ, セチ • temple"
1779,"拉 • くだ.く, ひし.ぐ, らっ.する, ロウ, ラ, ラツ • Latin, kidnap, crush"
1780,"畏 • かしこ.し, かしこ, かしこ.まる, おそ.れる, イ • fear, majestic, graciously, be apprehensive"
1781,"茨 • くさぶき, かや, いばら, ジ, シ • briar, thorn"
1782,"咽 • の.む, のど, むせ.る, むせ.ぶ, エツ, エン, イン • choked, smothered, stuffy"
1783,"怨 • うら.めしい, うらみ, うら.む, ウン, オン, エン • grudge, show resentment, be jealous"
1784,"柿 • こけら, かき, シ • persimmon, shingle"
1785,"柵 • やらい, とりで, しがらみ, しがら.む, サン, サク • stockade, fence, wier, entwine around"
1786,"拶 • せま.る, サツ • be imminent"
1787,"拭 • ふ.く, ぬぐ.う, シキ, ショク • wipe, mop, swab"
1788,"栃 • とち • horse chestnut, (kokuji)"
1789,"勃 • にわかに, おこ.る, ホツ, ボツ • suddenness, rise"
1790,"昧 • むさぼ.る, くら.い, バイ, マイ • dark, foolish"
1791,"侶 • とも, ロ, リョ • companion, follower"
1792,"訃 • しらせ, フ • obituary"
1793,"挨 • ひら.く, アイ • push open"
1794,"俺 • われ, おれ, エン • I, myself"
1795,"釜 • かま, フ • kettle, cauldron, iron pot"
1796,"桁 • けた, コウ • beam, girder, spar, unit or column (accounting)"
1797,"挫 • くじ.ける, くじ.く, サ, ザ • crush, break, sprain, discourage"
1798,"凄 • すさ.まじい, すご.い, さむ.い, サイ, セイ • uncanny, weird, threatening, horrible"
1799,"脊 • せい, せ, セキ • stature, height"
1800,"捉 • とら.える, サク, ソク • catch, capture"
1801,"袖 • そで, シュウ • sleeve, wing (building), extension, give cold shoulder"
1802,"酎 • かも.す, チュ, チュウ • sake"
1803,"捗 • はかど.る, ホ, チョク • make progress"
1804,"冥 • くら.い, ミョウ, メイ • dark"
1805,"脇 • わけ, わき, キョウ • armpit, the other way, another place, flank, supporting role"
1806,"哺 • ふく.む, はぐく.む, ホ • nurse, suckle"
1807,"恣 • ほしいまま, シ • selfish, arbitrary"
1808,"萎 • な.える, しぼ.む, しな.びる, しお.れる, な, イ • wither, droop, lame"
1809,"淫 • みだり, みだ.れる, みだ.ら, ほしいまま, ひた.す, イン • lewdness, licentiousness"
1810,"崖 • はて, きし, がけ, ギ, ゲ, ガイ • cliff, bluff, precipice"
1811,"葛 • くず, つづら, カチ, カツ • arrowroot, kudzu"
1812,"舷 • ふなばた, ふなべい, ゲン • gunwale"
1813,"梗 • おおむね, やまにれ, ふさぐ, キョウ, コウ • for the most part, close up"
1814,"頃 • しばら.く, ごろ, ころ, キョウ, ケイ • time, about, toward"
1815,"痕 • あと, コン • mark, foot print"
1816,"埼 • みさき, さい, さき, キ • cape, spit, promontory"
1817,"斬 • き.る, ゼン, セン, サン, ザン • beheading, kill, murder"
1818,"戚 • みうち, うれ.える, いた.む, セキ, ソク • grieve"
1819,"曽 • すなわち, かつて, かつ, ゾウ, ソ, ソウ • formerly, once, before, ever, never, ex-"
1820,"唾 • つばき, つば, タ, ダ • saliva, sputum"
1821,"堆 • うずたか.い, ツイ, タイ • piled high"
1822,"捻 • ひね.る, ひね.くる, ねじ.る, ね.じる, ジョウ, ネン • twirl, twist, play with"
1823,"惧 • おそ.れる, ク • fear, be afraid of, dread"
1824,"羞 • は.ずかしい, すすめ.る, はじ.る, シュウ • feel ashamed"
1825,"貪 • むさぼ.る, トン, タン • covet, indulge in"
1826,椅 • イ • chair
1827,"僅 • わずか, ゴン, キン • a wee bit"
1828,"喉 • のど, コウ • throat, voice"
1829,"貼 • つ.く, は.る, チョウ, テン • stick, paste, apply"
1830,"斑 • まだら, ふ, ハン • spot, blemish, speck, patches"
1831,"喩 • さと.す, たと.える, ユ • metaphor"
