No.,Kanji
285,"② 刊 • カン • publish, carve, engrave"
286,"② 甘 • うま.い, あま.やかす, あま.える, あま.い, カン • sweet, coax, pamper, be content, sugary"
287,"② 巨 • キョ • gigantic, big, large, great"
288,"② 込 • こ.める, -こ.み, こ.み, こ.む, -こ.む • crowded, mixture, in bulk, included, (kokuji)"
289,"② 冊 • ふみ, サク, サツ • tome, counter for books, volume"
290,"② 札 • ふだ, サツ • tag, paper money, counter for bonds, placard, bid"
291,"② 史 • シ • history, chronicle"
292,"② 示 • しめ.す, シ, ジ • show, indicate, point out, express, display"
293,"② 失 • う.せる, うしな.う, シツ • lose, error, fault, disadvantage, loss"
294,"② 処 • お.る, -こ, ところ, ショ • dispose, manage, deal with, sentence, condemn, act, behave, place"
295,"② 召 • め.す, ショウ • seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)"
296,"② 占 • うらな.う, し.める, セン • fortune-telling, divining, forecasting, occupy, hold, have, get, take"
297,"② 庁 • やくしょ, テイ, チョウ • government office"
298,"② 必 • かなら.ず, ヒツ • invariably, certain, inevitable"
299,"② 付 • -づき, -づ.き, -つき, -つ.き, つ.き, -づ.く, つ.く, -づけ, -づ.け, -つ.け, つ.け-, つ.け, -づ.ける, -つ.ける, つ.ける, フ • adhere, attach, refer to, append"
300,"② 布 • ぬの, フ • linen, cloth"
301,"② 払 • -ばら.い, -はら.い, はら.う, ホツ, ヒツ, フツ • pay, clear out, prune, banish, dispose of"
302,"② 包 • くる.む, つつ.む, ホウ • wrap, pack up, cover, conceal"
303,"② 末 • すえ, バツ, マツ • end, close, tip, powder, posterity"
304,"② 未 • ひつじ, ま.だ, いま.だ, ビ, ミ • un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac"
305,"② 民 • たみ, ミン • people, nation, subjects"
306,"② 幼 • おさな.い, ヨウ • infancy, childhood"
307,"② 令 • レイ • orders, ancient laws, command, decree"
308,"② 衣 • -ぎ, きぬ, ころも, エ, イ • garment, clothes, dressing"
309,"② 印 • しる.す, -じるし, しるし, イン • stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
310,"② 因 • ちな.む, よ.る, イン • cause, factor, be associated with, depend on, be limited to"
311,"② 宇 • ウ • eaves, roof, house, heaven"
312,"② 汚 • きたな.い, よご.れる, よご.す, けが.らわしい, けが.れる, けが.す, オ • dirty, pollute, disgrace, rape, defile"
313,"② 仮 • かり-, かり, ケ, カ • sham, temporary, interim, assumed (name), informal"
314,"② 灰 • はい, カイ • ashes, puckery juice, cremate"
315,"② 各 • おのおの, カク • each, every, either"
316,"② 汗 • あせ, カン • sweat, perspire"
317,"② 缶 • かま, カン • tin can, container"
318,"② 危 • あや.ぶむ, あや.うい, あぶ.ない, キ • dangerous, fear, uneasy"
319,"② 机 • つくえ, キ • desk, table"
320,"② 吸 • す.う, キュウ • suck, imbibe, inhale, sip"
321,"② 共 • -ども, とも.に, とも, キョウ • together, both, neither, all, and, alike, with"
322,"② 叫 • さけ.ぶ, キョウ • shout, exclaim, yell"
323,"② 件 • くだん, ケン • affair, case, matter, item"
324,"② 好 • い.い, よ.い, す.く, この.む, コウ • fond, pleasing, like something"
325,"② 再 • ふたた.び, サ, サイ • again, twice, second time"
326,"② 在 • あ.る, ザイ • exist, outskirts, suburbs, located in"
327,"② 舟 • -ぶね, ふな-, ふね, シュウ • boat, ship"
328,"② 成 • -な.す, な.す, な.る, ジョウ, セイ • turn into, become, get, grow, elapse, reach"
329,"② 争 • いか.でか, あらそ.う, ソウ • contend, dispute, argue"
330,"② 存 • ゾン, ソン • suppose, be aware of, believe, feel"
331,"② 宅 • タク • home, house, residence, our house, my husband"
332,"② 団 • まる.い, かたまり, トン, ダン • group, association"
333,"② 仲 • なか, チュウ • go-between, relationship"
334,"② 兆 • きざ.し, きざ.す, チョウ • portent, 10**12, trillion, sign, omen, symptoms"
335,"② 灯 • あかり, とも.す, ともしび, ほ-, ひ, トウ • lamp, a light, light, counter for lights"
336,"② 任 • まか.す, まか.せる, ニン • responsibility, duty, term, entrust to, appoint"
337,"② 肌 • はだ, キ • texture, skin, body, grain"
338,"② 忙 • うれえるさま, おそ.れる, せわ.しい, いそが.しい, モウ, ボウ • busy, occupied, restless"
339,"② 老 • ふ.ける, お.いる, ロウ • old man, old age, grow old"
340,"② 位 • ぐらい, くらい, イ • rank, grade, throne, crown, about, some"
341,"② 囲 • かこ.い, かこ.う, かこ.む, イ • surround, besiege, store, paling, enclosure, encircle, preserve, keep"
342,"② 改 • あらた.まる, あらた.める, カイ • reformation, change, modify, mend, renew, examine, inspect, search"
343,"② 完 • カン • perfect, completion, end"
344,"② 含 • ふく.める, ふく.む, ガン • include, bear in mind, understand, cherish"
