Freq. Rank,Lexeme,Standard Orthography,Standard Reading
11596,だらし無い,だらしない,だらしない
11642,怠い,だるい,だるい
12009,手早い,手早い,てばやい
12009,ぎこちない,ぎこちない,ぎこちない
12009,訝しい,いぶかしい,いぶかしい
12071,重苦しい,重苦しい,おもくるしい
12071,重たい,重たい,おもたい
12071,憎い,にくい,にくい
12149,若々しい,若々しい,わかわかしい
12470,騒がしい,騒がしい,さわがしい
12470,覚束無い,おぼつかない,おぼつかない
12907,恋しい,恋しい,こいしい
12995,呆気ない,あっけない,あっけない
12995,名高い,名高い,なだかい
13146,酸っぱい,酸っぱい,すっぱい
13226,もどかしい,もどかしい,もどかしい
13540,清々しい,すがすがしい,すがすがしい
13805,清い,清い,きよい
14062,拙い,つたない,つたない
14153,見苦しい,見苦しい,みぐるしい
14351,平たい,平たい,ひらたい
14351,心強い,心強い,こころづよい
14351,程良い,ほどよい,ほどよい
14351,茶色い,茶色い,ちゃいろい
14454,後ろめたい,後ろめたい,うしろめたい
14720,ださい,ださい,ださい
14814,痛ましい,痛ましい,いたましい
14814,愛らしい,愛らしい,あいらしい
14914,目まぐるしい,目まぐるしい,めまぐるしい
15032,忌ま忌ましい,いまいましい,いまいましい
15148,輝かしい,輝かしい,かがやかしい
15148,小高い,小高い,こだかい
15148,苦々しい,苦々しい,にがにがしい
15245,瑞々しい,みずみずしい,みずみずしい
15468,眩い,まばゆい,まばゆい
15574,華々しい,華々しい,はなばなしい
15703,気安い,気安い,きやすい
15831,恭しい,うやうやしい,うやうやしい
15963,心許ない,心もとない,こころもとない
15963,手厚い,手厚い,てあつい
16075,惨い,むごい,むごい
16075,侘しい,わびしい,わびしい
16075,図々しい,ずうずうしい,ずうずうしい
16348,疎い,疎い,うとい
16348,勇ましい,勇ましい,いさましい
16348,恨めしい,うらめしい,うらめしい
16348,力無い,力ない,ちからない
16474,真新しい,真新しい,まあたらしい
16617,悍ましい,おぞましい,おぞましい
16617,忝い,かたじけない,かたじけない
16867,くどい,くどい,くどい
17004,粘り強い,粘り強い,ねばりづよい
17004,見窄らしい,みすぼらしい,みすぼらしい
17145,余所余所しい,よそよそしい,よそよそしい
17306,蒸し暑い,蒸し暑い,むしあつい
17306,痛々しい,痛々しい,いたいたしい
17306,慎ましい,つつましい,つつましい
17306,か細い,か細い,かぼそい
17306,艶めかしい,なまめかしい,なまめかしい
17493,堅苦しい,堅苦しい,かたくるしい
17493,生臭い,生臭い,なまぐさい
17493,香ばしい,香ばしい,こうばしい
17789,温い,ぬるい,ぬるい
17789,荒っぽい,荒っぽい,あらっぽい
17789,浅黒い,浅黒い,あさぐろい
17942,重々しい,重々しい,おもおもしい
18084,騒々しい,騒々しい,そうぞうしい
18236,芳しい,芳しい,かんばしい
18236,粗い,粗い,あらい
18236,忌まわしい,忌まわしい,いまわしい
